ID,Away,Home
1,Bengals,Ravens
2,Steelers,Browns
3,Raiders,Dolphins
4,Bears,Lions
5,Titans,Jaguars
6,Chargers,Packers
7,Cardinals,Texans
8,Cowboys,Panthers
9,Giants,Commanders
10,Buccaneers,49ers
11,Jets,Bills
12,Seahawks,Rams
13,Vikings,Broncos
14,Eagles,Chiefs
